<UNK> 1.0	SPN
කොටස්කාරයෙක් 1.0	k o t a s k a: r @ y e k
කොටස්කාරයෝ 1.0	k o t a s k a: r @ y o:
කොටස්වල 1.0	k o t a s w @ l @
කොටස්වලට 1.0	k o t a s w @ l @ t @
කොටස්වලින් 1.0	k o t a s w @ l i n
කොටසින් 1.0	k o t @ s i n
කොටසෙ 1.0	k o t @ s e
කොටසෙත් 1.0	k o t @ s e t^
කොටසෙදි 1.0	k o t @ s e d^ i
කොටසෙන් 1.0	k o t @ s e n
කොටසෙනුත් 1.0	k o t @ s e n u t^
කොටසේ 1.0	k o t @ s e:
කොටසේත් 1.0	k o t @ s e: t^
කොටසේදි 1.0	k o t @ s e: d^ i
කොටහේ 1.0	k o t @ h e:
කොට්ට 1.0	k o t t @
කොට්ටය 1.0	k o t t @ y @
කොට්ටයක් 1.0	k o t t @ y a k
කොට්ටාව 1.0	k o t t a: w @
කොට්ටාවේ 1.0	k o t t a: w e:
කොට්ටාශයක් 1.0	k o t t a: s^ @ y a k
කොට්ටාශයකි 1.0	k o t t a: s^ @ y @ k i
කොට්ටාසවල 1.0	k o t t a: s @ w @ l @
කොට්ටේ 1.0	k o t t e:
කොට්ඨාශ 1.0	k o t t a: s^ @
කොට්ඨාශය 1.0	k o t t a: s^ @ y @
කොට්ඨාශයකි 1.0	k o t t a: s^ @ y @ k i
කොට්ඨාශයට 1.0	k o t t a: s^ @ y @ t @
කොට්ඨාශයන් 1.0	k o t t a: s^ @ y a n
කොට්ඨාස 1.0	k o t t a: s @
කොට්ඨාසයක් 1.0	k o t t a: s @ y a k
කොට්ඨාසයට 1.0	k o t t a: s @ y @ t @
කොට්ඨාසයන්ට 1.0	k o t t a: s @ y a n t @
කොට්ඨාසයේ 1.0	k o t t a: s @ y e:
කොටා 1.0	k o t a:
කොටාගෙන 1.0	k o t a: g e n @
කොටි 1.0	k o t i
කොටිදෙන 1.0	k o t i d^ e n @
කොටින් 1.0	k o t i n
කොටින්ට 1.0	k o t i n t @
කොටින්ටයි 1.0	k o t i n t a y i
කොටිනායකයා 1.0	k o t i n a: y @ k @ y a:
කොටියකු 1.0	k o t i y @ k u
කොටියා 1.0	k o t i y a:
කොටියාගේ 1.0	k o t i y a: g e:
කොටු 1.0	k o t u
කොටුකර 1.0	k o t u k @ r @
කොටුකරලා 1.0	k o t u k @ r @ l a:
කොටුව 1.0	k o t u w @
කොටුවක 1.0	k o t u w @ k @
කොටුවකට 1.0	k o t u w @ k @ t @
කොටුවක් 1.0	k o t u w a k
කොටුවෙ 1.0	k o t u w e
කොටුවෙන් 1.0	k o t u w e n
කොටුවේ 1.0	k o t u w e:
කොඩි 1.0	k o d i
කොඩිකාර 1.0	k o d i k a: r @
කොඩිය 1.0	k o d i y @
කොඩියක් 1.0	k o d i y a k
කොඩියට 1.0	k o d i y @ t @
කොඩියෙන් 1.0	k o d i y e n
කොඩිවිනයක් 1.0	k o d i w i n @ y a k
කොණ 1.0	k o n @
කොණකට 1.0	k o n @ k @ t @
කොණින් 1.0	k o n i n
කොතකට 1.0	k o t^ @ k @ t @
කොතන 1.0	k o t^ @ n @
කොතනක 1.0	k o t^ @ n @ k @
කොතනකවත් 1.0	k o t^ @ n @ k @ w a t^
කොතනින් 1.0	k o t^ @ n i n
කොතයි 1.0	k o t^ a y i
කොතරම් 1.0	k o t^ @ r a m
කොතලාවල 1.0	k o t^ @ l a: w @ l @
කොත් 1.0	k o t^
කොත්තමල්ලි 1.0	k o t^ t^ @ m a l l i
කොත්තු 1.0	k o t^ t^ u
කොත්තුවක් 1.0	k o t^ t^ u w a k
කොත්මලා 1.0	k o t^ m @ l a:
කොත්මලේ 1.0	k o t^ m @ l e:
කොත්වලට 1.0	k o t^ w @ l @ t @
කොතෙක් 1.0	k o t^ e k
කොතෙකුත් 1.0	k o t^ e k u t^
කොදෙව්ව 1.0	k o d^ e w w @
කොදෙව්වන්ට 1.0	k o d^ e w w a n t @
කොන 1.0	k o n @
කොනක 1.0	k o n @ k @
කොනකට 1.0	k o n @ k @ t @
කොනක් 1.0	k o n a k
කොනකින් 1.0	k o n @ k i n
කොන් 1.0	k o n
කොන්ට්‍රෝල් 1.0	k o n t t r o: l
කොන්ත්‍රාත් 1.0	k o n t^ t^ r a: t^
කොන්ත්‍රාත්කරුවන් 1.0	k o n t^ t^ r a: t^ k a r u w a n
කොන්ත්‍රාත්කරුවෙක් 1.0	k o n t^ t^ r a: t^ k a r u w e k
කොන්ත්‍රාත්කාරයෙක් 1.0	k o n t^ t^ r a: t^ k a: r @ y e k
කොන්ත්‍රාත්තුව 1.0	k o n t^ t^ r a: t^ t^ u w @
කොන්ත්‍රාත්තුවට 1.0	k o n t^ t^ r a: t^ t^ u w @ t @
කොන්සර්ට් 1.0	k o n s a r t
කොනේ 1.0	k o n e:
කොපමණ 1.0	k o p @ m @ n @
කොපමණක් 1.0	k o p @ m @ n a k
කොපමණකින් 1.0	k o p @ m @ n @ k i n
කොප්පයක් 1.0	k o p p @ y a k
කොප්පරු 1.0	k o p p @ r u
කොපි 1.0	k o p i
කොපිය 1.0	k o p i y @
කොපියක් 1.0	k o p i y a k
කොපියක්නම් 1.0	k o p i y a k n a m
කොපියට 1.0	k o p i y @ t @
කොපියත් 1.0	k o p i y a t^
කොපියෙ 1.0	k o p i y e
කොපියෙන් 1.0	k o p i y e n
කොපියේ 1.0	k o p i y e:
කොපු 1.0	k o p u
කොපුව 1.0	k o p u w @
කොපුවේ 1.0	k o p u w e:
කොබ්රාගඩේ 1.0	k o b r a: g @ d e:
කොමචන් 1.0	k o m @ c^ a n
කොමඩි 1.0	k o m @ d i
කොමඩිය 1.0	k o m @ d i y @
කොමඩියකට 1.0	k o m @ d i y @ k @ t @
කොමඩියක් 1.0	k o m @ d i y a k
කොමඩිි 1.0	k o m @ d i
කොමඩු 1.0	k o m @ d u
කොමන්ට් 1.0	k o m a n t
කොමන්ත් 1.0	k o m a n t^
කොමර්ෂල් 1.0	k o m a r s^ a l
කොම් 1.0	k o m
කොම්පියුටරය 1.0	k o m p i y u t @ r @ y @
කොම්පියුටර් 1.0	k o m p i y u t @ r
කොම්පියුටරේ 1.0	k o m p i y u t @ r e:
කොම්පීතර 1.0	k o m p i: t^ @ r @
කොම්පුටරයට 1.0	k o m p u t @ r @ y @ t @
කොම්පුටර් 1.0	k o m p u t @ r
කොම්පුටෙරෙන් 1.0	k o m p u t e r e n
කොම්වල 1.0	k o m w @ l @
කොම්ෂන් 1.0	k o m s^ a n
කොමික් 1.0	k o m i k
කොමියුනිස්ට් 1.0	k o m i y u n i s t
කොමියුනිස්ට්වාදියෙක් 1.0	k o m i y u n i s t w a: d^ i y e k
කොමිශන් 1.0	k o m i s^ a n
කොමිෂන් 1.0	k o m i s^ a n
කොමිෂමෙන් 1.0	k o m i s^ @ m e n
කොමිසම 1.0	k o m i s @ m @
කොමිසමක් 1.0	k o m i s @ m a k
කොමිසමට 1.0	k o m i s @ m @ t @
කොමිසමටත් 1.0	k o m i s @ m @ t a t^
කොමිසම් 1.0	k o m i s a m
කොමිසමේ 1.0	k o m i s @ m e:
කොමිස් 1.0	k o m i s
කොමිසුත් 1.0	k o m i s u t^
කොමෙන්ට් 1.0	k o m e n t
කොමෙන්ට්ස් 1.0	k o m e n t s
කොමෙන්ට්ස්වලට 1.0	k o m e n t s w @ l @ t @
කොමෙන්ටු 1.0	k o m e n t u
කොමෙන්ටුත් 1.0	k o m e n t u t^
කොමෙන්ටුව 1.0	k o m e n t u w @
කොමෙන්ටුවක් 1.0	k o m e n t u w a k
කොමෙන්ටුවකින් 1.0	k o m e n t u w @ k i n
කොමෙන්ටුවට 1.0	k o m e n t u w @ t @
කොමෙන්ටුවල 1.0	k o m e n t u w @ l @
කොමෙන්ටුවලට 1.0	k o m e n t u w @ l @ t @
කොමෙන්ටුවෙන් 1.0	k o m e n t u w e n
කොමේනි 1.0	k o m e: n i
කොයි 1.0	k o y i
කොයිතරං 1.0	k o y i t^ @ r a x
කොයිතරම් 1.0	k o y i t^ @ r a m
කොයිද 1.0	k o y i d^ @
කොයිදේත් 1.0	k o y i d^ e: t^
කොයින් 1.0	k o y i n
කොයිම 1.0	k o y i m @
කොයියම්ම 1.0	k o y i y a m m @
කොයිරාල 1.0	k o y i r a: l @
කොයිල් 1.0	k o y i l
කොර 1.0	k o r @
කොරගත්තා 1.0	k o r @ g a t^ t^ a:
කොරගන්න 1.0	k o r @ g a n n @
කොරටුවට 1.0	k o r @ t u w @ t @
කොරත් 1.0	k o r a t^
කොරන 1.0	k o r @ n @
කොරනම් 1.0	k o r @ n a m
කොරනවද 1.0	k o r @ n @ w @ d^ @
කොරන්ට 1.0	k o r a n t @
කොරන්න 1.0	k o r a n n @
කොරන්නට 1.0	k o r a n n @ t @
කොරන්නෙ 1.0	k o r a n n e
කොරන්නේ 1.0	k o r a n n e:
කොරපන් 1.0	k o r @ p a n
කොරපල්ලා 1.0	k o r @ p a l l a:
කොරපු 1.0	k o r @ p u
කොරමින් 1.0	k o r @ m i n
කොරමු 1.0	k o r @ m u
කොරයි 1.0	k o r a y i
කොරල 1.0	k o r @ l @
කොරල් 1.0	k o r a l
කොරල්වලට 1.0	k o r a l w @ l @ t @
කොරලා 1.0	k o r @ l a:
කොරවක් 1.0	k o r @ w a k
කොරවක්ගල 1.0	k o r @ w a k g @ l @
කොරවක්ගල් 1.0	k o r @ w a k g a l
කොරවන්නේ 1.0	k o r @ w a n n e:
කොරවල 1.0	k o r @ w @ l @
කොරෝ 1.0	k o r o:
කොල 1.0	k o l @
කොලක් 1.0	k o l a k
කොලට 1.0	k o l @ t @
කොලත් 1.0	k o l a t^
කොලනි 1.0	k o l @ n i
කොලම 1.0	k o l @ m @
කොලයක 1.0	k o l @ y @ k @
කොලයක් 1.0	k o l @ y a k
කොලර් 1.0	k o l @ r
කොලවල 1.0	k o l @ w @ l @
කොල්ල 1.0	k o l l @
කොල්ලකන්න 1.0	k o l l @ k a n n @
කොල්ලකාරයෝ 1.0	k o l l @ k a: r @ y o:
කොල්ලට 1.0	k o l l @ t @
කොල්ලටත් 1.0	k o l l @ t a t^
කොල්ලන් 1.0	k o l l a n
කොල්ලන්ට 1.0	k o l l a n t @
කොල්ලන්ව 1.0	k o l l a n w @
කොල්ලනේ 1.0	k o l l @ n e:
කොල්ලයි 1.0	k o l l a y i
කොල්ලව 1.0	k o l l @ w @
කොල්ලා 1.0	k o l l a:
කොල්ලාට 1.0	k o l l a: t @
කොල්ලුපිටිය 1.0	k o l l u p i t i y @
කොල්ලුවලට 1.0	k o l l u w @ l @ t @
කොල්ලෙක් 1.0	k o l l e k
කොල්ලෙක්ගේ 1.0	k o l l e k g e:
කොල්ලෙක්නෙ 1.0	k o l l e k n e
කොල්ලෙකුගේ 1.0	k o l l e k u g e:
කොල්ලෙකුට 1.0	k o l l e k u t @
කොල්ලෙකුත් 1.0	k o l l e k u t^
කොල්ලෙකුයි 1.0	k o l l e k u y i
කොල්ලො 1.0	k o l l o
කොල්ලොන්ට 1.0	k o l l o n t @
කොල්ලොම 1.0	k o l l o m @
කොල්ලෝ 1.0	k o l l o:
කොලා 1.0	k o l a:
කොලානං 1.0	k o l a: n a x
කොලිට් 1.0	k o l i t
කොලිටි 1.0	k o l i t i
කොලිටියේ 1.0	k o l i t i y e:
කොලීජියක 1.0	k o l i: j i y @ k @
කොලු 1.0	k o l u
කොලුකාරයො 1.0	k o l u k a: r @ y o
කොලුකුරුට්ටෝ 1.0	k o l u k u r u t t o:
කොලුවා 1.0	k o l u w a:
කොලුවෝ 1.0	k o l u w o:
කොලූ 1.0	k o l u:
කොලූට 1.0	k o l u: t @
කොලෙජ් 1.0	k o l e j
කොලෙස්ටරෝල් 1.0	k o l e s t @ r o: l
කොලේ 1.0	k o l e:
කොලේක 1.0	k o l e: k @
කොලේජ් 1.0	k o l e: j
කොලේට 1.0	k o l e: t @
කොලේටත් 1.0	k o l e: t a t^
කොලොන්නාවේ 1.0	k o l o n n a: w e:
කොලොප්පන් 1.0	k o l o p p a n
කොලොම්පුරේ 1.0	k o l o m p u r e:
කොවුර් 1.0	k o w u r
කොවුල් 1.0	k o w u l
කොස් 1.0	k o s
කොස්ගලවත්තේ 1.0	k o s g @ l @ w a t^ t^ e:
කොස්ගොඩ 1.0	k o s g o d @
කොස්තාපල් 1.0	k o s t^ a: p a l
කොස්තාපල්වරයාගේ 1.0	k o s t^ a: p a l w @ r @ y a: g e:
කොස්සක් 1.0	k o s s a k
කොස්සකිනුත් 1.0	k o s s @ k i n u t^
කොස්සපොල 1.0	k o s s @ p o l @
කොස්සයි 1.0	k o s s a y i
කොස්සාපොළ 1.0	k o s s a: p o l @
කොසුවක් 1.0	k o s u w a k
කොසොල් 1.0	k o s o l
කොහමෙට 1.0	k o h a m e t @
කොහාට 1.0	k o h a: t @
කොහින් 1.0	k o h i n
කොහු 1.0	k o h u
කොහුවලින් 1.0	k o h u w @ l i n
කොහෙ 1.0	k o h e
කොහෙට 1.0	k o h e t @
කොහෙඩ 1.0	k o h e d @
කොහෙත් 1.0	k o h e t^
කොහෙද 1.0	k o h e d^ @
කොහෙදීවත් 1.0	k o h e d^ i: w a t^
කොහෙදෝ 1.0	k o h e d^ o:
කොහෙන් 1.0	k o h e n
කොහෙන්වත් 1.0	k o h e n w a t^
කොහෙවත් 1.0	k o h e w a t^
කොහේ 1.0	k o h e:
කොහේට 1.0	k o h e: t @
කොහේදිවත් 1.0	k o h e: d^ i w a t^
කොහේදෝ 1.0	k o h e: d^ o:
කොහේවත් 1.0	k o h e: w a t^
කොහොම 1.0	k o h o m @
කොහොමට 1.0	k o h o m @ t @
කොහොමටත් 1.0	k o h o m @ t a t^
කොහොමටවත් 1.0	k o h o m @ t @ w a t^
කොහොමත් 1.0	k o h o m a t^
කොහොමවත් 1.0	k o h o m @ w a t^
කොහොමවුණත් 1.0	k o h o m @ w u n a t^
කොහොමින් 1.0	k o h o m i n
කොහොමෙන් 1.0	k o h o m e n
කොහොමෙයි 1.0	k o h o m e y i
කොළ 1.0	k o l @
කොළකම 1.0	k o l @ k @ m @
කොළට 1.0	k o l @ t @
කොළත් 1.0	k o l a t^
කොළපාට 1.0	k o l @ p a: t @
කොළය 1.0	k o l @ y @
කොළයක් 1.0	k o l @ y a k
කොළයා 1.0	k o l @ y a:
කොළයේ 1.0	k o l @ y e:
කොළවල 1.0	k o l @ w @ l @
කොළවලින් 1.0	k o l @ w @ l i n
කොළුවගේ 1.0	k o l u w @ g e:
කොළේ 1.0	k o l e:
කොළොන්නාව 1.0	k o l o n n a: w @
කොළොම් 1.0	k o l o m
කොෆි 1.0	k o f i
කෝ 1.0	k o:
කෝක 1.0	k o: k @
කෝකටත් 1.0	k o: k @ t a t^
කෝක් 1.0	k o: k
කෝකියවත් 1.0	k o: k i y @ w a t^
කෝකියා 1.0	k o: k i y a:
කෝකිල 1.0	k o: k i l @
කෝච්චි 1.0	k o: c^ c^ i
කෝච්චිය 1.0	k o: c^ c^ i y @
කෝච්චියක් 1.0	k o: c^ c^ i y a k
කෝච්චියට 1.0	k o: c^ c^ i y @ t @
කෝච්චියෙ 1.0	k o: c^ c^ i y e
කෝච්චියෙන් 1.0	k o: c^ c^ i y e n
කෝච්චියේ 1.0	k o: c^ c^ i y e:
කෝට්ටෙ 1.0	k o: t t e
කෝට්ටෙන් 1.0	k o: t t e n
කෝට්ටේ 1.0	k o: t t e:
කෝටාව 1.0	k o: t a: w @
කෝටි 1.0	k o: t i
කෝටික 1.0	k o: t i k @
කෝටික් 1.0	k o: t i k
කෝටිගමට 1.0	k o: t i g @ m @ t @
කෝටිපති 1.0	k o: t i p @ t^ i
කෝටිපතියකු 1.0	k o: t i p @ t^ i y @ k u
කෝටිපතියන් 1.0	k o: t i p @ t^ i y a n
කෝටියක 1.0	k o: t i y @ k @
කෝටියක් 1.0	k o: t i y a k
කෝටුවකින් 1.0	k o: t u w @ k i n
කෝඩ් 1.0	k o: d
කෝණයක 1.0	k o: n @ y @ k @
කෝණයකින් 1.0	k o: n @ y @ k i n
කෝණයෙන් 1.0	k o: n @ y e n
කෝත් 1.0	k o: t^
කෝත්කා 1.0	k o: t^ k a:
කෝන් 1.0	k o: n
කෝන්තරයක් 1.0	k o: n t^ @ r @ y a k
කෝප 1.0	k o: p @
කෝපය 1.0	k o: p @ y @
කෝපයක් 1.0	k o: p @ y a k
කෝපයකි 1.0	k o: p @ y @ k i
කෝපයට 1.0	k o: p @ y @ t @
කෝපයෙන් 1.0	k o: p @ y e n
කෝප් 1.0	k o: p
කෝප්පය 1.0	k o: p p @ y @
කෝප්පයකට 1.0	k o: p p @ y @ k @ t @
කෝප්පයක් 1.0	k o: p p @ y a k
කෝපාග්නියෙන් 1.0	k o: p a: g n i y e n
කෝපි 1.0	k o: p i
කෝමළ 1.0	k o: m @ l @
කෝමෙයි 1.0	k o: m e y i
කෝරඩ් 1.0	k o: r @ d
කෝරලගේ 1.0	k o: r @ l @ g e:
කෝරලයේ 1.0	k o: r @ l @ y e:
කෝරළයේ 1.0	k o: r @ l @ y e:
කෝරළේ 1.0	k o: r @ l e:
කෝරාගේ 1.0	k o: r a: g e:
කෝල් 1.0	k o: l
කෝලාහල 1.0	k o: l a: h @ l @
කෝලාහලය 1.0	k o: l a: h @ l @ y @
කෝලිට 1.0	k o: l i t @
කෝලිත 1.0	k o: l i t^ @
කෝලිතයන් 1.0	k o: l i t^ @ y a n
කෝලිය 1.0	k o: l i y @
කෝවකට 1.0	k o: w @ k @ t @
කෝවක් 1.0	k o: w a k
කෝවිලකට 1.0	k o: w i l @ k @ t @
කෝවිලක් 1.0	k o: w i l a k
කෝවිල් 1.0	k o: w i l
කෝවේ 1.0	k o: w e:
කෝෂ 1.0	k o: s^ @
කෝෂේ 1.0	k o: s^ e:
කෝසල 1.0	k o: s @ l @
කෝස් 1.0	k o: s
කෝසිය 1.0	k o: s i y @
කෝළාහලවල 1.0	k o: l a: h @ l @ w @ l @
කෲර 1.0	k r u: r @
කෲරත්වය 1.0	k r u: r a t^ w @ y @
ඛන්නා 1.0	k a n n a:
ඛනිජ 1.0	k a n i j @
ඛනිජතෙල් 1.0	k a n i j @ t^ e l
ඛාදනය 1.0	k a: d^ @ n @ y @
ඛාදනයට 1.0	k a: d^ @ n @ y @ t @
ඛාන් 1.0	k a: n
ඛාරංච 1.0	k a: r a x c^ @
ඛීරධාර 1.0	k i: r @ d^ a: r @
ඛුජ්ජුත්තරා 1.0	k u j j u t^ t^ @ r a:
ඛුජ්ජුත්තරාවගෙන් 1.0	k u j j u t^ t^ @ r a: w @ g e n
ඛුද්දක 1.0	k u d^ d^ @ k @
ඛෙකට්ගේ 1.0	k e k a t g e:
ඛෙදීමේ 1.0	k e d^ i: m e:
ඛෙරකාරයාගේ 1.0	k e r @ k a: r @ y a: g e:
ඛෙහෙත 1.0	k e h e t^ @
ඛෙහෙවින් 1.0	k e h e w i n
ඛේදජනක 1.0	k e: d^ @ j @ n @ k @
ඛේදනීය 1.0	k e: d^ @ n i: y @
ඛේදනීයයි 1.0	k e: d^ @ n i: y a y i
ඛේදවාචකයක් 1.0	k e: d^ @ w a: c^ @ k @ y a k
ඛේදවාචකයකි 1.0	k e: d^ @ w a: c^ @ k @ y @ k i
ඛේදවාචකයට 1.0	k e: d^ @ w a: c^ @ k @ y @ t @
ඛේදවාචකයන් 1.0	k e: d^ @ w a: c^ @ k @ y a n
ඛේමා 1.0	k e: m a:
ගං 1.0	g a x
ගංඉවුරට 1.0	g a x i w u r @ t @
ගංගා 1.0	g a x g a:
ගංගානම් 1.0	g a x g a: n a m
ගංගානි 1.0	g a x g a: n i
ගංගාරාමය 1.0	g a x g a: r a: m @ y @
ගංගාව 1.0	g a x g a: w @
ගංගාවක 1.0	g a x g a: w @ k @
ගංගාවක් 1.0	g a x g a: w a k
ගංගාවේ 1.0	g a x g a: w e:
ගංගොඩවිල 1.0	g a x g o d @ w i l @
ගංජා 1.0	g a x j a:
ගංතෙර 1.0	g a x t^ e r @
ගංවතුර 1.0	g a x w @ t^ u r @
ගංවතුරකිනි 1.0	g a x w @ t^ u r @ k i n i
ගංවතුරට 1.0	g a x w @ t^ u r @ t @
ගංවතුරාවට 1.0	g a x w @ t^ u r a: w @ t @
ගග 1.0	g a g @
ගගන 1.0	g a g @ n @
ගගනගාමී 1.0	g a g @ n @ g a: m i:
ගගනත 1.0	g a g @ n @ t^ @
ගගහා 1.0	g a g @ h a:
ගගා 1.0	g a g a:
ගගුලෙන් 1.0	g a g u l e n
ගජ 1.0	g a j @
ගජනායක 1.0	g a j @ n a: y @ k @
ගජමන් 1.0	g a j @ m a n
ගටක් 1.0	g a t a k
ගඩලාදෙණිය 1.0	g a d @ l a: d^ e n i y @
ගඩ්ඩෝ 1.0	g a d d o:
ගඩාෆි 1.0	g a d a: f i
ගඩාෆිගේ 1.0	g a d a: f i g e:
ගඩාෆිට 1.0	g a d a: f i t @
ගඩොල 1.0	g a d o l @
ගඩොල් 1.0	g a d o l
ගඩොලින් 1.0	g a d o l i n
ගඩොලිනි 1.0	g a d o l i n i
ගණ 1.0	g a n @
ගණං 1.0	g a n a x
ගණකාධිකරන 1.0	g a n @ k a: d^ i k @ r @ n @
ගණදෙවි 1.0	g a n @ d^ e w i
ගණන 1.0	g a n @ n @
ගණනක 1.0	g a n @ n @ k @
ගණනකගේ 1.0	g a n @ n @ k @ g e:
ගණනකට 1.0	g a n @ n @ k @ t @
ගණනක් 1.0	g a n @ n a k
ගණනකින් 1.0	g a n @ n @ k i n
ගණනට 1.0	g a n @ n @ t @
ගණනටත් 1.0	g a n @ n @ t a t^
ගණනය 1.0	g a n @ n @ y @
ගණනයි 1.0	g a n @ n a y i
ගණන් 1.0	g a n a n
ගණන්වල 1.0	g a n a n w @ l @
ගණන්වලට 1.0	g a n a n w @ l @ t @
ගණනාවක 1.0	g a n @ n a: w @ k @
ගණනාවකට 1.0	g a n @ n a: w @ k @ t @
ගණනාවක් 1.0	g a n @ n a: w a k
